x=sensor temperature [°C], y= Integrationtime [ms], z=counts
NOTE:in the raw data .csv files Integrationtime is given in microseconds instead of milliseconds
thus the Integrationtime has to be devided by 1000 before using it as "y" with this calibration file 
z(x,y)= p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
wvlngth	adjstRsq	p00	p10	p01	p20	p11	p30	p21
426.741000	9.989904e-01	1411.877368	1.089584e+01	0.028760	-4.355144e-01	-0.003020	5.513227e-03	0.000111	
427.204000	9.988707e-01	1410.898896	1.108357e+01	0.026470	-4.492730e-01	-0.002815	5.764716e-03	0.000104	
427.666000	9.981607e-01	1404.794068	1.154692e+01	0.025316	-4.591767e-01	-0.002850	5.809655e-03	0.000097	
428.129000	9.972788e-01	1411.951524	1.078291e+01	0.024212	-4.326251e-01	-0.002782	5.486440e-03	0.000090	
428.592000	9.968663e-01	1412.072828	1.082239e+01	0.023104	-4.343963e-01	-0.002843	5.518705e-03	0.000091	
429.055000	9.990037e-01	1395.238660	1.277338e+01	0.030562	-5.099650e-01	-0.003114	6.456337e-03	0.000114	
429.518000	9.975111e-01	1416.826126	1.032633e+01	0.022325	-4.164278e-01	-0.002768	5.314400e-03	0.000092	
429.981000	9.986750e-01	1417.781122	1.002348e+01	0.026860	-3.993783e-01	-0.002910	5.051673e-03	0.000103	
430.443000	9.993837e-01	1393.818952	1.300056e+01	0.036396	-5.161226e-01	-0.003637	6.520799e-03	0.000138	
430.906000	9.989085e-01	1390.679277	1.344985e+01	0.030036	-5.404083e-01	-0.003198	6.893209e-03	0.000116	
431.369000	9.981532e-01	1407.363852	1.134898e+01	0.024505	-4.546221e-01	-0.002812	5.783225e-03	0.000099	
431.832000	9.988013e-01	1421.896368	9.633343e+00	0.026645	-3.850450e-01	-0.002909	4.880707e-03	0.000105	
432.296000	9.987137e-01	1419.805137	9.809270e+00	0.026683	-3.940050e-01	-0.002796	5.007667e-03	0.000103	
432.759000	9.991544e-01	1412.364544	1.053730e+01	0.031447	-4.162852e-01	-0.003197	5.225979e-03	0.000119	
433.222000	9.955558e-01	1411.845853	1.095352e+01	0.021249	-4.441139e-01	-0.002706	5.705998e-03	0.000084	
433.685000	9.958579e-01	1411.746960	1.084231e+01	0.020362	-4.340137e-01	-0.002460	5.521330e-03	0.000079	
434.148000	9.988623e-01	1412.635495	1.090321e+01	0.027568	-4.411583e-01	-0.002979	5.664093e-03	0.000107	
434.611000	9.992296e-01	1408.732786	1.133937e+01	0.030535	-4.561442e-01	-0.003179	5.812953e-03	0.000119	
435.075000	9.963769e-01	1424.434475	9.576746e+00	0.018176	-3.902516e-01	-0.002345	5.032346e-03	0.000076	
435.538000	9.989318e-01	1399.570309	1.248921e+01	0.028619	-5.011638e-01	-0.003029	6.378774e-03	0.000109	
436.001000	9.983819e-01	1415.527582	1.033711e+01	0.023982	-4.115517e-01	-0.002984	5.182995e-03	0.000105	
436.465000	9.971430e-01	1427.568190	9.028351e+00	0.021034	-3.650555e-01	-0.002419	4.666071e-03	0.000081	
436.928000	9.881016e-01	1527.367127	-3.271225e+00	0.000279	1.165413e-01	-0.000643	-1.372229e-03	0.000040	
437.391000	9.982860e-01	1414.973879	1.048725e+01	0.025758	-4.182429e-01	-0.002989	5.292593e-03	0.000101	
437.855000	9.417646e-01	1419.936844	9.970356e+00	0.013876	-4.064850e-01	-0.002346	5.229454e-03	0.000059	
438.318000	9.986204e-01	1427.565439	8.845633e+00	0.025652	-3.527640e-01	-0.002810	4.443804e-03	0.000100	
