wvlngth,flux,group
548,8.736140304,150lux
549,5.784867137,150lux
550,4.37698912,150lux
551,3.476193705,150lux
552,2.80756325,150lux
553,2.265159517,150lux
554,1.777890535,150lux
555,1.352085254,150lux
556,1.00489178,150lux
557,0.75768694,150lux
558,0.608234312,150lux
559,0.51090905,150lux
560,0.460741214,150lux
561,0.424714407,150lux
562,0.403357931,150lux
563,0.381584731,150lux
564,0.361472462,150lux
565,0.347772231,150lux
566,0.345928943,150lux
567,0.339145421,150lux
568,0.332870215,150lux
569,0.342400269,150lux
570,0.36263217,150lux
571,0.38763307,150lux
572,0.43582517,150lux
573,0.56948888,150lux
574,0.738027889,150lux
575,0.994139494,150lux
576,1.709223342,150lux
577,1.709223342,150lux
578,1.709223342,150lux
579,1.709223342,150lux
580,2.424307189,150lux
581,2.614040348,150lux
582,2.783075482,150lux
583,2.948406507,150lux
584,3.132869385,150lux
585,3.27444387,150lux
586,3.315462527,150lux
587,3.27726971,150lux
588,3.002318361,150lux
589,3.002318361,150lux
590,2.727367013,150lux
591,2.460982966,150lux
592,2.247417716,150lux
593,1.996550996,150lux
594,1.785484142,150lux
595,1.5707384,150lux
596,1.408691824,150lux
597,1.323754178,150lux
598,1.301638762,150lux
599,1.269379137,150lux
600,1.230111947,150lux
601,1.152779005,150lux
602,1.048039633,150lux
603,0.982381879,150lux
604,0.986961704,150lux
605,1.114318804,150lux
606,1.568112696,150lux
607,2.82639711,150lux
608,5.004056786,150lux
609,7.274922143,150lux
610,9.480662985,150lux
611,10.85770744,150lux
612,11.22259807,150lux
613,10.07391096,150lux
614,8.201679032,150lux
615,6.336946553,150lux
616,4.883282149,150lux
617,3.985558514,150lux
618,3.358312133,150lux
619,3.062906025,150lux
620,2.889439185,150lux
621,2.790960881,150lux
622,2.619178285,150lux
623,2.454779916,150lux
624,2.213782803,150lux
625,2.213782803,150lux
626,1.972785691,150lux
627,1.961809494,150lux
628,2.014752465,150lux
629,2.068314005,150lux
630,2.050185003,150lux
631,1.924289623,150lux
632,1.697005846,150lux
633,1.353905041,150lux
634,1.045493127,150lux
635,0.81589321,150lux
636,0.679138006,150lux
637,0.593912608,150lux
638,0.534606675,150lux
639,0.518487061,150lux
640,0.522718235,150lux
641,0.502955904,150lux
642,0.516611324,150lux
643,0.530145604,150lux
644,0.530145604,150lux
645,0.543679885,150lux
646,0.574312833,150lux
647,0.637992677,150lux
648,0.68766776,150lux
649,0.746245185,150lux
650,0.795794237,150lux
651,0.775674413,150lux
652,0.731147604,150lux
653,0.652655233,150lux
654,0.574258024,150lux
655,0.517980853,150lux
656,0.473235788,150lux
657,0.444888544,150lux
658,0.440917908,150lux
659,0.4619688,150lux
660,0.491266347,150lux
661,0.525129836,150lux
662,0.53895215,150lux
663,0.555531535,150lux
664,0.546695843,150lux
665,0.519240147,150lux
666,0.496897782,150lux
667,0.49003386,150lux
668,0.476295657,150lux
669,0.459109616,150lux
670,0.443380184,150lux
671,0.428578574,150lux
672,0.418216718,150lux
673,0.404569771,150lux
674,0.413396704,150lux
675,0.399704059,150lux
676,0.407640492,150lux
677,0.415838949,150lux
678,0.418266791,150lux
679,0.430009757,150lux
680,0.426071886,150lux
681,0.418957593,150lux
682,0.390876575,150lux
683,0.410126003,150lux
684,0.414046611,150lux
685,0.42412238,150lux
686,0.448207932,150lux
687,0.456378804,150lux
688,0.454127323,150lux
689,0.428926719,150lux
690,0.41411775,150lux
691,0.410731045,150lux
692,0.385968171,150lux
693,0.37189345,150lux
694,0.360079756,150lux
695,0.323129345,150lux
696,0.29524809,150lux
697,0.268493703,150lux
698,0.249400994,150lux
699,0.240381023,150lux
700,0.267229323,150lux
701,0.293075671,150lux
702,0.376895318,150lux
703,0.50829145,150lux
704,0.680792309,150lux
705,0.898727438,150lux
706,1.048984756,150lux
707,1.163403926,150lux
708,1.249040626,150lux
709,1.265617008,150lux
710,1.178651,150lux
711,1.053048746,150lux
712,0.944321947,150lux
713,0.784372993,150lux
714,0.607270228,150lux
715,0.462466822,150lux
716,0.34304149,150lux
717,0.278519618,150lux
718,0.243864963,150lux
719,0.213796572,150lux
720,0.208070418,150lux
721,0.20218083,150lux
722,0.193176143,150lux
723,0.200805575,150lux
724,0.1923474,150lux
725,0.189443978,150lux
726,0.185365612,150lux
727,0.191304807,150lux
728,0.196882629,150lux
729,0.200511846,150lux
730,0.195155958,150lux
731,0.205383607,150lux
732,0.20710118,150lux
733,0.206643812,150lux
734,0.205218513,150lux
735,0.210094221,150lux
736,0.214466715,150lux
737,0.223144606,150lux
738,0.223144606,150lux
739,0.231822497,150lux
740,0.243974907,150lux
741,0.243015181,150lux
742,0.242671526,150lux
743,0.242671526,150lux
744,0.24232787,150lux
745,0.238818375,150lux
746,0.24832255,150lux
747,0.234352703,150lux
748,0.229854475,150lux
749,0.228431975,150lux
750,0.217271813,150lux
751,0.220529806,150lux
752,0.228199261,150lux
753,0.230859949,150lux
754,0.241618486,150lux
755,0.247823446,150lux
756,0.247823446,150lux
757,0.254028406,150lux
758,0.238826571,150lux
759,0.223305204,150lux
760,0.220479262,150lux
761,0.19972301,150lux
762,0.179920931,150lux
763,0.168984591,150lux
764,0.182088328,150lux
765,0.18127792,150lux
766,0.195810856,150lux
767,0.208084541,150lux
768,0.223720683,150lux
769,0.238445813,150lux
770,0.24579166,150lux
771,0.235270876,150lux
772,0.234270054,150lux
773,0.221179755,150lux
774,0.24012512,150lux
775,0.21626116,150lux
776,0.238891829,150lux
777,0.224970771,150lux
778,0.233727536,150lux
779,0.230189218,150lux
780,0.221384506,150lux
380,0,dark
381,0,dark
382,0,dark
383,0,dark
384,0,dark
385,0,dark
386,0,dark
387,0,dark
388,0,dark
389,0,dark
390,0,dark
391,0,dark
392,0,dark
393,0,dark
394,0,dark
395,0,dark
396,0,dark
397,0,dark
398,0,dark
399,0,dark
400,0,dark
401,0,dark
402,0,dark
403,0,dark
404,0,dark
405,0,dark
406,0,dark
407,0,dark
408,0,dark
409,0,dark
410,0,dark
411,0,dark
412,0,dark
413,0,dark
414,0,dark
415,0,dark
416,0,dark
417,0,dark
418,0,dark
419,0,dark
420,0,dark
421,0,dark
422,0,dark
423,0,dark
424,0,dark
425,0,dark
426,0,dark
427,0,dark
428,0,dark
429,0,dark
430,0,dark
431,0,dark
432,0,dark
433,0,dark
434,0,dark
435,0,dark
436,0,dark
437,0,dark
438,0,dark
439,0,dark
440,0,dark
441,0,dark
442,0,dark
443,0,dark
444,0,dark
445,0,dark
446,0,dark
447,0,dark
448,0,dark
449,0,dark
450,0,dark
451,0,dark
452,0,dark
453,0,dark
454,0,dark
455,0,dark
456,0,dark
457,0,dark
458,0,dark
459,0,dark
460,0,dark
461,0,dark
462,0,dark
463,0,dark
464,0,dark
465,0,dark
466,0,dark
467,0,dark
468,0,dark
469,0,dark
470,0,dark
471,0,dark
472,0,dark
473,0,dark
474,0,dark
475,0,dark
476,0,dark
477,0,dark
478,0,dark
479,0,dark
480,0,dark
481,0,dark
482,0,dark
483,0,dark
484,0,dark
485,0,dark
486,0,dark
487,0,dark
488,0,dark
489,0,dark
490,0,dark
491,0,dark
492,0,dark
493,0,dark
494,0,dark
495,0,dark
496,0,dark
497,0,dark
498,0,dark
499,0,dark
500,0,dark
501,0,dark
502,0,dark
503,0,dark
504,0,dark
505,0,dark
506,0,dark
507,0,dark
508,0,dark
509,0,dark
510,0,dark
511,0,dark
512,0,dark
513,0,dark
514,0,dark
515,0,dark
516,0,dark
517,0,dark
518,0,dark
519,0,dark
520,0,dark
521,0,dark
522,0,dark
523,0,dark
524,0,dark
525,0,dark
526,0,dark
527,0,dark
528,0,dark
529,0,dark
530,0,dark
531,0,dark
532,0,dark
533,0,dark
534,0,dark
535,0,dark
536,0,dark
537,0,dark
538,0,dark
539,0,dark
540,0,dark
541,0,dark
542,0,dark
543,0,dark
544,0,dark
545,0,dark
546,0,dark
547,0,dark
548,0,dark
549,0,dark
550,0,dark
551,0,dark
552,0,dark
553,0,dark
554,0,dark
555,0,dark
556,0,dark
557,0,dark
558,0,dark
559,0,dark
560,0,dark
561,0,dark
562,0,dark
563,0,dark
564,0,dark
565,0,dark
566,0,dark
567,0,dark
568,0,dark
569,0,dark
570,0,dark
571,0,dark
572,0,dark
573,0,dark
574,0,dark
575,0,dark
576,0,dark
577,0,dark
578,0,dark
579,0,dark
580,0,dark
581,0,dark
582,0,dark
583,0,dark
584,0,dark
585,0,dark
586,0,dark
587,0,dark
588,0,dark
589,0,dark
590,0,dark
591,0,dark
592,0,dark
593,0,dark
594,0,dark
595,0,dark
596,0,dark
597,0,dark
598,0,dark
599,0,dark
600,0,dark
601,0,dark
602,0,dark
603,0,dark
604,0,dark
605,0,dark
606,0,dark
607,0,dark
608,0,dark
609,0,dark
610,0,dark
611,0,dark
612,0,dark
613,0,dark
614,0,dark
615,0,dark
616,0,dark
617,0,dark
618,0,dark
619,0,dark
620,0,dark
621,0,dark
622,0,dark
623,0,dark
624,0,dark
625,0,dark
626,0,dark
627,0,dark
628,0,dark
629,0,dark
630,0,dark
631,0,dark
632,0,dark
633,0,dark
634,0,dark
635,0,dark
636,0,dark
637,0,dark
638,0,dark
639,0,dark
640,0,dark
641,0,dark
642,0,dark
643,0,dark
644,0,dark
645,0,dark
646,0,dark
647,0,dark
648,0,dark
649,0,dark
650,0,dark
651,0,dark
652,0,dark
653,0,dark
654,0,dark
655,0,dark
656,0,dark
657,0,dark
658,0,dark
659,0,dark
660,0,dark
661,0,dark
662,0,dark
663,0,dark
664,0,dark
665,0,dark
666,0,dark
667,0,dark
668,0,dark
669,0,dark
670,0,dark
671,0,dark
672,0,dark
673,0,dark
674,0,dark
675,0,dark
676,0,dark
677,0,dark
678,0,dark
679,0,dark
680,0,dark
681,0,dark
682,0,dark
683,0,dark
684,0,dark
685,0,dark
686,0,dark
687,0,dark
688,0,dark
689,0,dark
690,0,dark
691,0,dark
692,0,dark
693,0,dark
694,0,dark
695,0,dark
696,0,dark
697,0,dark
698,0,dark
699,0,dark
700,0,dark
701,0,dark
702,0,dark
703,0,dark
704,0,dark
705,0,dark
706,0,dark
707,0,dark
708,0,dark
709,0,dark
710,0,dark
711,0,dark
712,0,dark
713,0,dark
714,0,dark
715,0,dark
716,0,dark
717,0,dark
718,0,dark
719,0,dark
720,0,dark
721,0,dark
722,0,dark
723,0,dark
724,0,dark
725,0,dark
726,0,dark
727,0,dark
728,0,dark
729,0,dark
730,0,dark
731,0,dark
732,0,dark
733,0,dark
734,0,dark
735,0,dark
736,0,dark
737,0,dark
738,0,dark
739,0,dark
740,0,dark
741,0,dark
742,0,dark
743,0,dark
744,0,dark
745,0,dark
746,0,dark
747,0,dark
748,0,dark
749,0,dark
750,0,dark
751,0,dark
752,0,dark
753,0,dark
754,0,dark
755,0,dark
756,0,dark
757,0,dark
758,0,dark
759,0,dark
760,0,dark
761,0,dark
762,0,dark
763,0,dark
764,0,dark
765,0,dark
766,0,dark
767,0,dark
768,0,dark
769,0,dark
770,0,dark
771,0,dark
772,0,dark
773,0,dark
774,0,dark
775,0,dark
776,0,dark
777,0,dark
778,0,dark
779,0,dark
780,0,dark
