Data from it5000_Temperature12_16-58-38-016.txt Node

Standard Time	Epoch Time	
HH:MM:SS:000	(msec 1970)	Temperature1_2
17:36:33.916	1581438993916	34.06	
17:36:43.946	1581439003946	34.06	
17:36:53.961	1581439013961	34.06	
17:37:03.990	1581439023990	34.06	
17:37:14.019	1581439034019	34.06	
17:37:24.048	1581439044048	34.06	
17:37:34.077	1581439054077	34.18	
17:37:44.111	1581439064111	34.18	
17:37:54.124	1581439074124	34.18	
17:38:04.151	1581439084151	34.18	
17:38:14.180	1581439094180	34.18	
17:38:24.209	1581439104209	34.18	
17:38:34.238	1581439114238	34.3	
17:38:44.272	1581439124272	34.3	
17:38:54.285	1581439134285	34.3	
17:39:04.320	1581439144320	34.3	
17:39:14.333	1581439154333	34.3	
17:39:24.362	1581439164362	34.3	
17:39:34.391	1581439174391	34.41	
17:39:44.420	1581439184420	34.41	
17:39:54.448	1581439194448	34.41	
17:40:04.482	1581439204482	34.41	
17:40:14.496	1581439214496	34.41	
17:40:24.530	1581439224530	34.41	
17:40:34.543	1581439234543	34.53	
17:40:44.572	1581439244572	34.53	
17:40:54.601	1581439254601	34.53	
17:41:04.631	1581439264631	34.53	
17:41:14.660	1581439274660	34.53	
17:41:24.694	1581439284694	34.53	
17:41:34.708	1581439294708	34.53	
17:41:44.737	1581439304737	34.65	
17:41:54.766	1581439314766	34.65	
17:42:04.795	1581439324795	34.65	
17:42:14.824	1581439334824	34.65	
17:42:24.858	1581439344858	34.65	
17:42:34.871	1581439354871	34.65	
17:42:44.900	1581439364900	34.65	
17:42:54.929	1581439374929	34.77	
17:43:04.963	1581439384963	34.77	
17:43:14.976	1581439394976	34.77	
17:43:25.010	1581439405010	34.77	
17:43:35.024	1581439415024	34.77	
17:43:45.052	1581439425052	34.77	
17:43:55.081	1581439435081	34.77	
17:44:05.103	1581439445103	34.89	
17:44:15.132	1581439455132	34.77	
17:44:25.161	1581439465161	34.89	
17:44:35.189	1581439475189	34.89	
17:44:45.223	1581439485223	34.89	
17:44:55.237	1581439495237	34.89	
17:45:05.271	1581439505271	34.89	
17:45:15.284	1581439515284	34.89	
17:45:25.318	1581439525318	34.89	
17:45:35.331	1581439535331	35.01	
17:45:45.365	1581439545365	34.89	
17:45:55.379	1581439555379	35.01	
17:46:05.408	1581439565408	35.01	
17:46:15.435	1581439575435	35.01	
17:46:25.469	1581439585469	35.01	
17:46:35.482	1581439595482	35.01	
17:46:45.516	1581439605516	35.01	
17:46:55.530	1581439615530	35.01	
17:47:05.562	1581439625562	35.01	
17:47:15.575	1581439635575	35.01	
17:47:25.604	1581439645604	35.13	
17:47:35.633	1581439655633	35.13	
17:47:45.662	1581439665662	35.13	
17:47:55.691	1581439675691	35.13	
17:48:05.720	1581439685720	35.13	
17:48:15.748	1581439695748	35.13	
17:48:25.783	1581439705783	35.13	
17:48:35.796	1581439715796	35.13	
17:48:45.825	1581439725825	35.13	
17:48:55.854	1581439735854	35.13	
17:49:05.888	1581439745888	35.13	
17:49:15.901	1581439755901	35.13	
17:49:25.935	1581439765935	35.25	
17:49:35.949	1581439775949	35.25	
17:49:45.982	1581439785982	35.25	
17:49:55.996	1581439795996	35.25	
17:50:06.028	1581439806028	35.25	
17:50:16.041	1581439816041	35.25	
17:50:26.070	1581439826070	35.25	
17:50:36.104	1581439836104	35.25	
17:50:46.117	1581439846117	35.25	
17:50:56.151	1581439856151	35.25	
17:51:06.164	1581439866164	35.25	
17:51:16.193	1581439876193	35.25	
17:51:26.222	1581439886222	35.25	
17:51:36.251	1581439896251	35.37	
17:51:46.280	1581439906280	35.37	
17:51:56.309	1581439916309	35.37	
17:52:06.338	1581439926338	35.37	
17:52:16.367	1581439936367	35.37	
17:52:26.396	1581439946396	35.37	
17:52:36.430	1581439956430	35.37	
17:52:46.443	1581439966443	35.37	
17:52:56.472	1581439976472	35.37	
17:53:06.504	1581439986504	35.37	
17:53:16.503	1581439996503	35.37	
17:53:26.532	1581440006532	35.37	
17:53:36.561	1581440016561	35.37	
17:53:46.590	1581440026590	35.37	
17:53:56.625	1581440036625	35.37	
17:54:06.638	1581440046638	35.37	
17:54:16.667	1581440056667	35.37	
17:54:26.696	1581440066696	35.37	
17:54:36.725	1581440076725	35.37	
17:54:46.754	1581440086754	35.49	
17:54:56.788	1581440096788	35.37	
17:55:06.801	1581440106801	35.37	
17:55:16.830	1581440116830	35.49	
17:55:26.859	1581440126859	35.49	
17:55:36.888	1581440136888	35.49	
17:55:46.917	1581440146917	35.49	
17:55:56.951	1581440156951	35.49	
17:56:06.966	1581440166966	35.49	
17:56:16.980	1581440176980	35.49	
17:56:27.009	1581440187009	35.49	
17:56:37.043	1581440197043	35.49	
17:56:47.056	1581440207056	35.49	
17:56:57.085	1581440217085	35.49	
17:57:07.114	1581440227114	35.49	
17:57:17.143	1581440237143	35.49	
17:57:27.170	1581440247170	35.49	
17:57:37.204	1581440257204	35.49	
17:57:47.218	1581440267218	35.49	
17:57:57.246	1581440277246	35.49	
17:58:07.276	1581440287276	35.61	
17:58:17.310	1581440297310	35.61	
17:58:27.323	1581440307323	35.49	
17:58:37.352	1581440317352	35.61	
