x=sensor temperature [°C], y= Integrationtime [ms], z=counts
NOTE: in the raw data .csv files Integrationtime is given in microseconds instead of milliseconds
thus the Integrationtime has to be devided by 1000 before using it as "y" with this calibration file. 
PIXEL SELECTION: pixels with FIT_RMSE > 3.25 (RMSE in training dataset) &  dead pixels with SELECT_RMSE > 25 (RMSE in selection dataset) should be excluded from further analysis.
z(x,y)= p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
wvlngth	FIT_RMSE	SELECT_RMSE	p00	p10	p01	p20	p11	p30	p21
405.954000	2.523323e+00	2.693364	1.416138e+03	10.221136	2.337132e-02	-0.405593	-2.691425e-03	0.005105	9.037427e-05	
406.415000	2.629771e+00	5.256846	1.414741e+03	10.546429	2.017451e-02	-0.422400	-2.541343e-03	0.005356	7.799000e-05	
406.876000	2.598322e+00	3.492452	1.399063e+03	12.461690	3.088544e-02	-0.498620	-3.243797e-03	0.006328	1.179747e-04	
407.338000	2.695287e+00	4.880395	1.422229e+03	9.639234	2.368753e-02	-0.389012	-2.589462e-03	0.004966	9.388289e-05	
407.799000	2.473002e+00	3.506247	1.419489e+03	9.895081	2.455424e-02	-0.395177	-2.720301e-03	0.005004	9.334729e-05	
408.260000	2.530966e+00	4.099311	1.421888e+03	9.675697	2.771733e-02	-0.386996	-2.883502e-03	0.004895	1.069435e-04	
408.722000	2.773025e+00	3.872249	1.426267e+03	9.305840	1.128912e-02	-0.378808	-2.548584e-03	0.004869	6.038583e-05	
409.183000	2.864791e+00	5.646484	1.405240e+03	11.814309	3.011761e-02	-0.473171	-3.190475e-03	0.006011	1.129944e-04	
409.644000	2.534058e+00	5.866161	1.428082e+03	8.829429	2.431070e-02	-0.354692	-2.763421e-03	0.004503	9.549170e-05	
410.106000	2.625461e+00	4.631674	1.415975e+03	10.304722	2.753989e-02	-0.411377	-2.865212e-03	0.005203	1.066979e-04	
